customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,corporate,2,1,31.0,19.0,59.69325444163936,30.285614595079142,50.0,89.9788690367185,4257.124811637875,666.9714309558648,3590.1533806820103,3,3,6,1.6401578347585586,3.2803156695171176,46.95767015251786,49.03568427466585,89.64001363184259,64.57913614118458,76.66866430997405,320,4,1,35,2195.2413685699225,22,1379.866003101094,13,815.3753654688285,17,18,33.0,2.0,300,90,500,120,0.6595574374404957,0.13896870508265274,3.3333333333333335,1.5,9.238552108589138,less_10K,9.307237266575916
10001,individual,4,0,18.0,23.0,23.66331278585167,34.03534673651939,41.0,57.69865952237106,24342.33276441682,2130.607345468636,22211.725418948183,2,3,11,1.4067528535360005,3.4311045208195137,62.17348923401988,64.92484781360609,24.436472211640815,47.30881082332121,56.16525015118836,565,8,7,59,3700.549735589298,32,2007.0778226925006,27,1693.4719128967974,29,30,26.0,33.0,2999,700,300,90,-6.363950969083308,1.0708092403171534,4.284285714285715,4.0,19.809841116875667,10K_to_20K,-8.31419196512021
10002,individual,10,1,31.0,4.0,48.036089041378695,4.104185617820766,35.0,52.14027465919946,7361.807466659269,70.44891005477501,7291.358556604494,2,3,5,0.9680926421220595,2.7659789774915984,54.44679758225044,56.85622747760445,47.706175966154994,1.342389183731709,1.5936909635313468,423,2,1,45,2822.453188161329,33,2069.799004651641,12,752.6541835096878,22,23,14.0,31.0,2999,700,99,15,-3.9371282030229624,0.12033422910748554,4.284285714285715,4.0,5.991054253466202,50K_above,1.484599503791916
10003,individual,1,1,237.0,92.0,262.46369806737806,156.48013524812197,329.0,418.9438333155,7538.7316005627345,6.62787663695423,7532.10372392578,17,5,12,9.635284965628445,2.9286580442639654,33.647142397646455,35.136126771128716,94.26969057690204,45.748007324560355,54.31225665126425,248,4,7,27,1693.4719128967974,8,501.76945567312515,19,1191.7024572236724,13,14,18.0,9.0,999,180,128,28,2.012442431781938,1.9051661858572304,5.55,3.0,8.180047309638384,10K_to_20K,-5.878087864652729
10004,individual,9,0,2.0,55.0,2.7402699548964575,76.55738486880591,57.0,79.29765482370237,1635.8432387316698,718.8978624334098,916.94537629826,4,5,9,1.2031615451813875,2.110809728388399,11.302751393070436,11.802931170679543,43.33863309092786,18.285181521453605,21.708256376337953,482,1,10,51,3198.7802799161727,11,689.933001550547,40,2508.8472783656257,25,26,33.0,18.0,2999,700,999,180,1.8818036542960057,0.020305042638824957,4.284285714285715,4.0,1.3312526356865804,less_10K,16.112506543204216
10005,individual,7,0,11.0,22.0,16.000135408314947,41.67698978629557,33.0,57.67712519461052,3753.8872499188,761.923631164359,2991.963618754441,2,9,6,1.5666501872975938,4.747424809992708,79.08215955694028,82.5817762081823,7.851135497209838,51.148856398580094,60.724170922455336,279,5,1,30,1881.6354587742194,6,376.3270917548439,24,1505.3083670193755,15,15,29.0,1.0,999,180,99,15,1.743021306092405,1.5582160748712965,5.55,3.0,4.073228352776476,less_10K,4.792259116241858
10006,corporate,7,0,20.0,168.0,30.517351280702236,264.12837698595126,188.0,294.6457282666535,28714.848800109758,98.79327179345994,28616.055528316298,10,5,12,7.572667879041478,4.028014829277382,35.80802404264349,37.39263374336217,89.2987210274257,13.70571006117993,16.271485600444624,1132,8,3,116,7275.657107260315,80,5017.694556731251,36,2257.9625505290633,58,58,95.0,21.0,999,180,2999,700,1.1932411613251954,0.047400909580654634,5.55,3.0,31.157605034841314,10K_to_20K,-17.32821298698743
10007,individual,1,0,103.0,2.0,145.45682477171667,3.4801929437562533,105.0,148.93701771547293,24419.732538101995,556.6627554670728,23863.06978263492,6,7,13,3.3934343766278476,3.231842263455093,85.69860017183832,89.49101365459808,97.20468556902861,81.87647361198789,97.20414742802105,725,8,9,75,4704.088646935548,30,1881.6354587742194,45,2822.453188161329,37,38,19.0,56.0,999,180,1500,365,1.84699841278858,0.26999617631103523,5.55,3.0,26.497105618600255,50K_above,-6.840288148393464
10008,individual,6,1,12.0,11.0,14.822703397254998,16.0993375747581,23.0,30.922040972013097,2492.081979584066,1526.3338648856422,965.7481146984242,1,4,12,1.052119750952599,4.574433699793909,83.64901988975315,87.3507334558259,52.363704003956165,18.582697251806408,22.061468497470816,273,3,4,30,1881.6354587742194,19,1191.7024572236721,11,689.9330015505473,15,15,12.0,18.0,300,90,99,15,1.4743911375762642,0.5188594726272466,3.3333333333333335,1.5,5.408164018194588,10K_to_20K,5.763252657173693
10009,individual,7,0,33.0,35.0,33.53512449693922,52.207929182107456,68.0,85.74305367904668,7139.295340783926,2920.790588320454,4218.504752463472,4,5,9,0.841099124683482,1.2369104774757087,17.60092445508534,18.379816794967883,41.26577351860913,76.70886047986164,91.06913200067572,374,5,3,40,2508.8472783656257,23,1442.5871850602348,17,1066.260093305391,20,20,39.0,1.0,99,15,99,15,0.7016463023117921,0.5185930206278359,6.6,0.5,46.479787374895345,30K_to_50K,0.5805901126866524
